Population, Generation, meanFitness, meanPhenotype, meanNeutral, alpha
A,49,0.936235,0.00367,-0.00327,NA
A,50,0.93852,-0.00832,0.00531,NA
A,51,0.93721,0.0025,0.00721,NA
A,52,0.935885,0.00379,0.00244,NA
A,53,0.935535,0.00193,-0.00016,NA
A,54,0.939455,0.00523,0.00578,NA
A,55,0.934635,-0.00287,0.00301,NA
A,56,0.93768,8.00E-05,0.00135,NA
A,57,0.935955,0.00077,0.00278,NA
A,58,0.93644,0.00766,0.00896,NA
A,59,0.937115,-0.00171,-0.00396,NA
A,60,0.93613,0.0039,0.00146,NA
A,61,0.93493,0.00648,-0.00633,NA
A,62,0.933605,0.00187,0.00508,NA
A,63,0.936465,0.00931,-0.00013,NA
A,64,0.93583,-0.00518,-0.00266,NA
A,65,0.937145,0.00093,0.0104,NA
A,66,0.935455,-7.00E-05,-0.00397,NA
A,67,0.936085,0.00073,-0.00083,NA
A,68,0.93663,-0.00036,0.0057,NA
A,69,0.93532,-0.00246,0.00292,NA
A,70,0.935995,0.00313,0.00136,NA
A,71,0.937205,0.00223,-0.00092,NA
A,72,0.93688,-0.00028,0.01268,NA
A,73,0.935415,0.00147,-0.00207,NA
A,74,0.934395,0.00145,0.00407,NA
A,75,0.932155,0.00169,0.00261,NA
A,76,0.933665,0.00027,0.00177,NA
A,77,0.93903,0.00054,0.00092,NA
A,78,0.935655,0.00191,0.0056,NA
A,79,0.93804,-0.00426,-0.00226,NA
A,80,0.936095,-0.00375,0.00765,NA
A,81,0.93945,0.00196,-0.0004,NA
A,82,0.9358,-0.00394,0.00751,NA
A,83,0.93759,0.0049,0.00108,NA
A,84,0.938565,-0.00819,-0.00561,NA
A,85,0.936495,0.00587,-0.00017,NA
A,86,0.934715,0.00895,0.00058,NA
A,87,0.93515,-0.00016,0.00513,NA
A,88,0.933425,0.00155,-0.00411,NA
A,89,0.938175,0.00141,-0.00718,NA
A,90,0.937805,0.00143,-0.00071,NA
A,91,0.93391,-0.0032,0.0067,NA
A,92,0.93483,-0.00486,-0.00155,NA
A,93,0.93912,0.00742,0.00867,NA
A,94,0.937545,0.00339,0.01074,NA
A,95,0.935565,0.00403,-0.00366,NA
A,96,0.93753,-0.0018,-0.00457,NA
A,97,0.93612,-0.00794,0.01027,NA
A,98,0.935715,-0.00719,0.01253,NA
A,99,0.937475,-0.00777,0.0082,NA
